price;event_date;product_content_id;sold_count;visit_count;favored_count;basket_count;category_sold;category_brand_sold;category_visits;ty_visits;category_basket;category_favored;is.discount_days
79.34083333;25.05.2020;85004;36;0;0;233;260;0;4039;1;0;16032;0
76.05422535;25.05.2020;4066298;142;0;0;307;413;0;1149;1;0;2640;0
137.6873284;25.05.2020;6676673;539;0;0;1783;674;0;10271;1;0;25365;0
238.8717949;25.05.2020;7061886;39;0;0;136;102;0;520;1;0;2171;0
44.99;25.05.2020;31515569;610;0;0;3482;1094;0;8393;1;0;41141;0
59.99;25.05.2020;32737302;40;0;0;211;1365;0;1806;1;0;9738;0
112.9;25.05.2020;32939029;74;0;0;323;1193;0;1231;1;0;4132;0
;25.05.2020;48740784;0;0;0;0;15;0;1002;1;0;6866;0
;25.05.2020;73318567;0;0;0;0;1365;0;1806;1;0;9738;0
78.52238095;26.05.2020;85004;42;0;0;282;303;0;4258;1;0;16397;0
75.78349112;26.05.2020;4066298;169;0;0;330;486;0;1369;1;0;3036;0
134.4552072;26.05.2020;6676673;724;0;0;2106;882;0;4546;1;0;16909;0
237.8757576;26.05.2020;7061886;33;0;0;117;110;0;508;1;0;2118;0
44.99;26.05.2020;31515569;437;0;0;2226;953;0;9237;1;0;41838;0
59.99;26.05.2020;32737302;44;0;0;211;1223;0;1700;1;0;8778;0
115.849505;26.05.2020;32939029;101;0;0;411;1351;0;1419;1;0;4647;0
;26.05.2020;48740784;0;0;0;0;14;0;1091;1;0;7201;0
;26.05.2020;73318567;0;0;0;0;1223;0;1700;1;0;8778;0
79.81942857;27.05.2020;85004;35;0;0;228;246;0;3733;1;0;14839;0
76.92845771;27.05.2020;4066298;201;0;0;399;562;0;1562;1;0;3432;0
136.8115334;27.05.2020;6676673;763;0;0;2286;944;0;4346;1;0;14733;0
240.6333333;27.05.2020;7061886;36;0;0;140;129;0;510;1;0;1917;0
44.99;27.05.2020;31515569;270;0;0;1754;777;0;7131;1;0;32698;0
59.99;27.05.2020;32737302;33;0;0;141;848;0;1164;1;0;5464;0
114.107767;27.05.2020;32939029;103;0;0;398;1071;0;1125;1;0;3876;0
;27.05.2020;48740784;0;0;0;0;16;0;1036;1;0;6331;0
;27.05.2020;73318567;0;0;0;0;848;0;1164;1;0;5464;0
80.95862069;28.05.2020;85004;29;0;0;168;311;0;3941;1;0;15490;0
77.21761364;28.05.2020;4066298;176;0;0;340;550;0;1482;1;0;3247;0
138.83866;28.05.2020;6676673;597;0;0;1797;758;0;4371;1;0;15506;0
236.8131579;28.05.2020;7061886;38;0;0;152;140;0;529;1;0;2099;0
44.99;28.05.2020;31515569;366;0;0;2293;836;0;7436;1;0;35389;0
59.99;28.05.2020;32737302;33;0;0;150;722;0;1052;1;0;5566;0
115.1034524;28.05.2020;32939029;84;0;0;370;927;0;978;1;0;3336;0
;28.05.2020;48740784;0;0;0;0;17;0;846;1;0;5708;0
;28.05.2020;73318567;0;0;0;0;722;0;1052;1;0;5566;0
80.54769231;29.05.2020;85004;39;0;0;162;342;0;4058;1;0;15415;0
76.98344156;29.05.2020;4066298;154;0;0;296;473;0;1273;1;0;2854;0
136.1014964;29.05.2020;6676673;695;0;0;1858;860;0;3833;1;0;13112;0
232.9307692;29.05.2020;7061886;39;0;0;122;118;0;489;1;0;1966;0
44.99;29.05.2020;31515569;1188;0;0;6379;1581;0;7736;1;0;36277;0
59.99;29.05.2020;32737302;33;0;0;161;968;0;1374;1;0;7406;0
126.1038462;29.05.2020;32939029;52;0;0;257;810;0;851;1;0;2878;0
